Invoice Number,Total Charged,Path
X15688941,13900.1,2021-08-03_1.pdf
813728138,7381.59,2023-01-14_2.pdf
G42174195,5685.08,G42174195.pdf
27307572,8137.36,Email_Attachment_2022-12-14_4.pdf
E37309831,14208.68,2021-12-21_5.pdf
729631867,7647.38,Invoice (6).pdf
R86891888,11880.81,Incoming_inv_ParaisurZ996560_7.pdf
G17880187,63.94,Email_Attachment_2021-05-25_8.pdf
185501314,5955.150000000001,LoveLLC_2023-04-29.pdf
368374325,3811.46,Email_Attachment_2022-12-21_10.pdf
525894132,14846.55,Email_Attachment_2022-09-07_11.pdf
Z32874868,7300.82,MorrisGibson_2021-09-06.pdf
25775764,4839.7,25775764.pdf
655237307,19922.95,655237307.pdf
X94129448,6377.82,Email_Attachment_2023-03-11_15.pdf
Q32399790,6318.7,2021-05-23_16.pdf
122800810,7056.47,2023-05-07_17.pdf
36268118,1887.77,NewtonVangandGreen_2023-04-14.pdf
347890376,6811.339999999999,RichardsonRiveraandOrtega_2023-02-21.pdf
E36037758,4897.78,Email_Attachment_2021-09-23_20.pdf
631541528,1627.59,MoyerLLC_2021-12-06.pdf
K89069468,15715.9,2022-08-17_22.pdf
265806304,5502.76,2021-07-22_23.pdf
404404809,2987.96,2022-07-10_24.pdf
A56544011,2236.9700000000003,A56544011.pdf
545042290,2911.0,Incoming_inv_ParaisurZ996560_26.pdf
G56427813,3271.3100000000004,Email_Attachment_2022-04-11_27.pdf
739441125,22898.03,Email_Attachment_2021-08-27_28.pdf
767258161,7722.410000000001,Invoice (29).pdf
891036587,9023.77,Incoming_inv_ParaisurZ996560_30.pdf
616133418,2388.4400000000005,Email_Attachment_2022-02-16_31.pdf
D11535455,2323.8900000000003,Invoice (32).pdf
M99701294,2124.62,Invoice (33).pdf
Q85906860,2649.7200000000003,Email_Attachment_2021-02-01_34.pdf
T05657365,25113.78,SpencerTranandSharp_2022-12-11.pdf
614116764,2996.26,Email_Attachment_2021-07-18_36.pdf
544235753,13693.339999999998,Invoice (37).pdf
113847505,12605.53757098688,RileyMejia_2021-01-10.pdf
