Invoice Number,Total Charged
X15688941,13900.1
813728138,7381.59
G42174195,5685.620000000001
27307572,8137.36
E37309831,14208.68
729631867,7647.38
R86891888,11880.81
G17880187,63.94
185501314,10649.994160317003
368374325,3811.46
525894132,14846.55
Z32874868,7300.82
25775764,4839.7
655237307,19922.95
X94129448,6377.82
Q32399790,6318.7
122800810,7056.47
36268118,1887.77
347890376,6811.339999999999
E36037758,4897.78
631541528,1627.59
K89069468,15715.9
265806304,5502.76
404404809,2987.96
A56544011,2236.9700000000003
545042290,2911.0
G56427813,3179.3100000000004
739441125,22898.03
767258161,7722.410000000001
891036587,8766.369999999999
616133418,2388.4400000000005
D11535455,2323.8900000000003
M99701294,2124.62
Q85906860,2649.7200000000003
T05657365,25113.78
614116764,2996.26
544235753,13693.339999999998
113847505,12605.53757098688
R99017922,2705.59
578429792,3312.02
99736670,11676.73
556781099,6024.82
486128729,4019.03
136721665,7941.57
411912154,11683.0
226951501,12248.240000000002
788637963,12217.69
Q93290777,9798.52
E22390057,6742.1
P15962702,20145.85
X18990729,18084.24
358951563,27636.62
797056017,11146.440000000002
T19198420,14626.929999999998
266632390,5213.92
R00681180,3687.92
C44648217,2217.8
W82809165,1638.3496376568069
W92106592,8357.9
752619552,24026.58
P94091081,9717.88
666554693,3245.0599999999995
U13431705,22308.31
510533668,2954.0
J34221786,1667.41
S52552586,23975.73
M88834311,3080.95
347345320,5343.65
909249547,12612.92
A89165346,8588.82
314375014,2909.8
E88462246,5109.4
400438952,8566.74
D42270420,43723.55
L72796583,7997.48
T38566505,22161.84
M57255552,13036.27
968858029,1317.0400000000002
267115359,2101.52
587945621,19720.35
J57753721,4364.16
798373233,3176.78
363331588,13110.54
713971768,9985.882231274862
N69004567,31489.72
J31035181,3595.7900000000004
E10850399,6917.490000000001
708583208,9332.69
G15941590,7535.36
K22363359,10030.49
K17203280,21579.910000000003
K46176755,9905.55
B88262085,5687.42
725748905,2331.75
J61758079,7344.76
L23619384,43042.99
828655515,9523.28
195621415,21800.53
525094401,24385.55
337689402,754.5699999999999
V14223434,4761.47
Q86274702,9030.089999999998
755478342,1872.05
656058731,5019.61
T70079518,15081.44
613714113,21372.44
761485484,5441.21
U82787473,10660.53
S79609985,7275.74
991001106,3435.49
288807811,8083.55
774944901,9523.28
S53605606,11895.79
924504787,21575.369999999995
336525253,9523.28
D07341731,44330.8
A92477926,5087.049999999999
P39725283,14593.24
840169060,2696.1600000000003
V49251693,28721.28
I54358125,52654.42
W28530445,7254.660000000001
B91326331,15885.47
958585754,2406.79
R63669385,15464.449999999995
470286696,20263.19
I96416098,7816.990000000001
559781413,9523.28
U31929699,3320.16
Q38405095,2697.32
Y31637916,5957.14
V62061340,1883.95
I65934666,28364.18
850174225,14930.96
130538375,3973.48
513356951,8889.580000000002
247390083,20974.82
V37847717,28014.109999999997
F02022898,15660.3
E56485804,6989.52
76592153,8168.2
Q01887853,7685.88
229307847,4754.47
G67531466,58719.09
S35264324,16800.359999999997
317166185,18197.16
I15725077,2562.8700000000003
U64433052,8283.11
Z34426267,7605.530000000001
L85354169,5814.42
994185758,9523.28
202313975,9523.28
987120802,1844.84
242969362,7487.849999999999
J78713589,4894.42
634010388,1146.83
9121602,5928.93
326452930,9523.28
Q26371927,4787.43
H06183335,14026.79
Z25278999,5346.16
X04862706,31176.34
242007358,4588.01
48661514,1807.42
U89813792,16050.61
125184742,5065.610000000001
327297099,3309.42
702992978,11669.0
E38033006,13113.02
D12358554,5645.98
Q90870065,31451.88
230475082,18227.22
706551682,4721.79
432790320,3726.54
188588309,22331.77
F79114333,35745.73
V93101563,9523.28
M42191720,2526.1100000000006
396056152,6458.33
H06316666,18780.26
334385845,2880.11
882433012,9893.69
Y21203729,7208.09
N20997906,19051.7
726488347,21548.93194708292
T33836658,6062.3
379818130,14027.81
594789673,2741.05
W19626146,24548.42
D00472775,2954.17
988306831,18270.72
384267740,5110.76
667025891,10055.11
85743606,8634.06
S64053689,2315.73
362557395,3560.36
614603905,10483.81
L27724327,21075.460000000003
J36454724,2051.0
436971423,4091.89
J36873143,7688.24
L59231488,8456.87
H15630205,4628.64
U17850650,5485.73
F64209688,8626.83
572122970,18808.69
H18274146,2888.06
235811933,1878.52
R55947574,5525.700000000001
O91804735,14283.11
G14127348,4413.09
103758022,9917.38
699332564,31050.83
Q51920772,18712.6
829334188,9523.28
577043934,8761.74
R99836473,16346.53
J68690208,4263.75
986103842,4201.36
R71248609,7914.23
T42816382,4109.65
L18529036,5359.28
234167336,7311.22
752909953,829.22
L91824062,6007.87
220394393,1686.81
Y13797066,12808.510000000002
386549974,8143.58
458353949,5783.71
F18337579,18315.370000000003
185963084,3773.91
511240237,22912.000000000004
160102086,5674.01
586013532,1627.42
407777516,13319.43
A58911591,4083.96
106360273,14229.68
C16117913,3047.6400000000003
I46763029,7393.15
472290194,732.96
P66662233,17393.11
886739160,2919.87
620408513,5390.37
311329035,10013.65
B33555156,12521.009999999998
K83821400,6981.46
31514774,20812.99
M26157817,3781.0
764781629,5907.02
D95769840,19467.82
630512376,6798.4400000000005
122226488,9054.38
918886884,5725.99
Q15791654,7292.1
593669616,24408.83
E34699329,3667.07
N24993972,4066.150000000001
703451834,3704.34
T07636920,4380.92
A76823618,6485.099999999999
D97411180,23103.5
49763407,7071.86
W61021495,3290.51
307470195,23393.58
Y31978723,8907.509999999998
B60889837,6959.92
K73521656,5581.92
700548009,6655.17
L22044366,19196.21
736758427,5347.74
436839815,36230.03
L54805510,2294.67
939817245,38306.37
K25032074,3317.86
746198696,9523.28
935586801,23648.28
255670995,4532.089999999999
A26546694,6028.679999999999
F77551310,2557.11
E46989130,29264.89
461859922,6133.64
751427376,29561.55
395010656,9523.28
U59837005,1598.99
150776319,4642.780000000001
A69243791,3816.05
912844401,32494.51
A99168889,27457.11
M24969380,10378.38
A39589839,9899.32
H31012065,15656.260000000002
635633352,3064.9
392831401,8006.650000000001
D82623371,5352.950000000001
323201698,16084.56
65699539,5866.74
386011105,14068.39
W15412659,32513.8
V70675550,2980.96
686584156,6659.52
331259515,11854.989999999998
135727105,6333.370000000001
983617542,9681.02
832633503,7269.03
609421183,9523.28
575531791,27478.03
726467142,6960.48
X12123762,13867.16
986171240,9780.9
P18266517,16336.51
R77142788,5055.84
797267275,16721.52
848725585,27811.79
C17154110,14009.35
755601719,17953.899999999998
183415481,9477.147918077137
N09584961,10003.02
612898045,3389.41
W97972029,28722.77
750543706,11179.9
496781934,5608.12
R46120796,7628.049999999999
135264446,19119.86
A37078503,3437.68
Q78108237,9220.25
Z78637462,5612.860000000001
V92553057,3458.64
T90219746,2186.25
R84137954,2923.26
699009652,4118.38
R20106650,21170.77
972138635,6144.6
524793003,13649.81
818399780,7427.849999999999
Z99389813,28641.64
K14239365,9523.28
W47657185,4468.109999999999
403683388,9082.67
222558964,8685.060000000001
590261339,6794.976135881752
D49607132,5705.67
A84129136,2204.77
742330985,570.14
809284411,5667.949999999999
B26859631,5605.48
G53930080,2945.05
D74433131,18259.95
K92316917,9318.41
D20909989,51237.240000000005
F67422126,1227.9299999999998
965755307,42160.92
M68017650,8333.98
P08719747,1366.9
R23219078,8857.810000000001
J64991660,5393.780000000001
M07592029,2809.22
L18808314,5027.8
V61272032,10969.29
925892156,29652.34
811235820,17208.199999999997
723425338,3309.79
R03341205,14755.41
318618545,7168.92
F74524164,1048.12
L70579294,14475.62
J25814578,1221.4
199417262,9523.28
680893196,2534.88
985182047,24696.11
Y93321181,26781.97
603286412,3398.31
U28463995,1422.6899999999998
33766712,7452.04
70616730,4351.129999999999
605039232,9165.63
807212429,12706.85
I66617824,1612.6899999999998
Y82727944,17725.81
130404667,6585.49
W39290560,20952.86
U36061231,4396.16
434892677,11415.45
W01167881,9257.04
837241294,6724.14
823676197,5901.330000000001
474114541,1338.83
794702947,11462.96
625819123,20808.95
325287105,4372.49
123836711,9867.07
578814008,8866.38
170766270,9547.65
309274394,31172.120000000003
G17325862,8489.67
J76272810,17868.8
G32580915,37282.7
E07736809,3697.4
R73909213,18984.050000000003
R32377274,2861.89
D96716081,8770.14
946901916,15537.42
Y90909242,10757.62
T38909264,1570.0
V18849890,4933.95
743726256,19236.04
C08777013,12678.21
401552981,6673.29
544492821,22375.99
V01801273,3891.8
165983071,2067.9700000000003
391056964,671.3599999999999
878065362,11124.35
871403053,2199.16
P88187405,1895.15
D52810356,5728.13
E23717166,7548.019999999999
779691932,14900.33
39056981,4326.18
393778884,9022.01
392444101,6564.45
44597363,29015.95
859205539,25338.74
242179311,5076.860000000001
O78576600,792.13
799776408,8406.24
520070561,15271.17
G41453766,12421.19
663345025,3635.04
211083444,6243.829999999999
J35125934,6568.869533116518
954200518,3980.97
126358148,2550.19
544855945,9514.48
T19049083,10743.45
G77442408,27292.35
746111033,8985.240000000002
Z88542280,21158.0
Z31860688,13854.6
370187501,4178.639999999999
373764603,5878.48
D35346006,5963.5
I30638138,12500.459572612232
I23873481,9722.81
R38283220,14937.23
126681282,16389.739999999998
C97486408,13813.43
508344808,6436.67
K18316941,8043.929999999999
N00268955,3161.93
R99833344,5704.4
K37537400,10696.25
M72342104,28937.37
S36128443,4639.570000000001
17596441,4040.53
173606528,4406.12
D20014588,2535.32
I33403797,13418.16
930183776,3069.75
361699968,11796.08
368794132,32544.28
390897961,3068.49
961883319,789.8
H02256990,7440.37
M89647629,8733.83
51034734,10551.72
279284583,10673.149999999998
792594601,3539.2
147743736,7559.45
237089499,9130.64
W42549923,3943.73
751972338,3612.34
V66148186,6452.21
96194542,2055.93
V29140554,6156.5
V25420476,7592.429999999999
A42301146,23606.06
529668905,29233.01
Z43976944,9523.28
465461155,7931.34
248323893,4222.03
Y70356799,7817.69
F07073333,3076.51
615636638,33114.39000000001
104318201,26044.95
G09158293,7012.78
O47230055,23869.25
G17932841,4430.81
741145915,850.44
454585168,21308.81
D20708144,4638.650000000001
B09247092,11844.97
F05230769,4356.53
Q46020680,1547.5099999999998
191741155,4278.88
27925570,16574.25410480456
W36776142,27225.49
I95842174,11643.11
266467617,830.46
667343977,5520.39
403991206,4180.030000000001
607892690,9387.58
V76598086,9540.26
N25567128,19972.28
835843019,13425.77
204399748,3463.35
S47401094,22005.42
D11134795,7905.07
494091188,6491.0
198539153,19280.020000000004
528743584,23033.08
454491562,1347.9483902918912
959582503,7712.74
L33585975,6377.1900000000005
549395094,14522.73
W99024265,9523.28
E17563797,9367.51
966145498,9324.69
477606415,18911.91
H45592789,13164.27
472235640,10092.989999999998
407356000,4160.163951198238
D84399780,25095.26
636548454,8928.460000000001
T95562510,11431.45
X28381205,1112.0
424072504,4755.5
209744002,8726.82
K92229773,5700.79
K70239507,4432.11
O67414744,11434.76
X38916906,5731.570000000001
885950361,14078.79
I24402201,11140.05
24657907,1863.83
281895150,9523.28
119717474,8577.04
D74038509,32264.070000000003
A80456950,7080.17
T47259797,18173.41
758291013,9523.28
528603667,5138.040000000001
K40440095,29479.35
W58207596,20354.72
O60986005,16925.93
492220579,5724.21
453119089,8289.34
Q85018852,49450.69
O76445265,1420.1
890267186,5457.450000000001
595776459,4144.03
798041220,23188.08
472956253,34454.12
S53687736,22410.84
558414677,7446.45
R87559116,13869.35
W17730802,20246.159999999996
J82544808,23506.46
N09187253,6570.9
Y63849262,1121.15
357695641,20593.73
F44362101,10725.99
T61409340,11249.21
U11487802,9523.28
433366401,1251.81
77513314,13588.99
D30432564,7877.150000000001
567832112,4836.179999999999
421812810,20581.85
D26486574,7472.48
613440155,8237.74
266599813,11711.14
792259145,54637.380000000005
S89728960,32626.08
A22107063,9512.6
309450343,3105.35
493452624,2029.37
I99400488,10164.4
809891519,8899.65
J28413248,3608.68
824803463,5301.9400000000005
W65013771,36241.16
Y48501916,15059.979752974208
R83293383,6017.2300000000005
G10851948,16308.280000000002
364819954,31332.42
W85462759,9523.28
O97239806,11244.01
M70995524,33617.28
407698,4532.01
Y91934048,31947.68
U74004057,17146.51
C68565121,10353.52
122599134,10326.63
X25754230,12020.989999999998
J90057880,3414.55
878286065,15359.87
333708450,6291.17
808905920,8581.73
L47310765,1346.26
Q93985855,6829.029999999999
162925003,14875.76
G21618614,11395.75
834989824,592.92
862900451,6677.570000000001
M75323838,4733.06
243841909,588.4
832110031,18540.25831046793
E44789653,14771.04
492182901,3764.16
385264182,26659.47
377801020,13191.31
W80065390,5503.63
191182808,13085.61
B30463489,1519.93
597203847,9905.14
Q26330928,13011.08
R28514790,5205.08
Z89805935,26918.5
B51043157,22692.27
175793810,5910.449999999999
354147830,1298.6
C71449344,49152.97
141514961,3817.9500000000007
346994476,3532.96
70295977,9912.72
865291955,10560.36
A75338604,9992.280000000002
V61251674,6674.709999999999
K78283897,4470.889999999999
H35677554,26583.96
127764837,10640.04
995807922,17416.13
972873081,7430.700000000001
C32864238,7714.92
N73924243,11367.332423529087
102057491,17397.3
771105327,14550.12
766596401,13941.75
H25644335,9523.28
