,path,invoice,costo_prof,costo_total
0,216813898.pdf,216813898,2309.17,13943.38
1,219760751.pdf,219760751,1587.6399999999999,8891.4
2,220354534.pdf,220354534,2920.0199999999995,11592.38
3,223162763.pdf,3162763,52734.74,65537.52
4,224430200.pdf,224430200,17036.350000000002,37.0
5,225171059.pdf,225171059,604.68,54476.94
6,227224377.pdf,227224377,4486.14,-1.0
7,22891320.pdf,228913,12541.75,22508.11
8,230954591.pdf,230954591,2278.51,1923.23
9,231305945.pdf,231305945,6202.130000000001,11896.2
10,232448338.pdf,232448338,12975.13,40049.7
11,233222416.pdf,233222416,1641.77,5207.27
12,234167336.pdf,234167336,7311.22,13343.71
13,234963002.pdf,234963002,32432.98,58219.63
14,235810975.pdf,235811,6546.64,19925.34
15,236780923.pdf,236780923,11877.04,16365.3
16,239252542.pdf,239252542,4552.17,9231.14
17,241741262.pdf,241741262,42302.7,49001.57
18,243348935.pdf,243348935,7589.800000000001,12098.08
19,243765700.pdf,243765700,2668.57,13934.12
20,243969310.pdf,103217571,14181.689999999999,25677.9
21,244147509.pdf,244147509,11717.07,26637.93
22,244672097.pdf,244672097,1831.17,-6457.64
23,248266849.pdf,248266849,0.0,61906.01
24,251232982.pdf,251232982,14165.369999999999,31758.58
25,25775764.pdf,25775764,4205.5,11581.47
26,260155921.pdf,260155921,9665.76,28360.22
27,264130843.pdf,264130843,17202.56,54278.51
28,264650568.pdf,264650568,5852.650000000001,11573.03
29,267226283.pdf,267226283,8916.37,14517.27
30,270224933.pdf,270224933,1618.2099999999998,10982.46
31,271257573.pdf,271257573,8707.520000000002,24751.92
32,272788663.pdf,272788663,692.54,49796.2
33,27287842.pdf,27287842,6973.799999999999,59376.09
34,274533210.pdf,274533210,680.62,29341.23
35,275737634.pdf,275737634,32056.579999999998,48412.47
36,275994460.pdf,275994460,3016.2599999999998,7323.04
37,279487800.pdf,279487800,1691.9599999999998,11126.85
38,281288969.pdf,281288969,3709.12,15103.69
39,292912128.pdf,292912128,0.0,17281.4
40,299041246.pdf,299041246,19088.789999999997,37853.07
41,299346001.pdf,299346001,9462.27,-2916.83
42,300174538.pdf,300174538,16334.44,42233.99
43,300544252.pdf,300544252,7506.24,-1.0
44,301639906.pdf,301639906,0.0,29928.59
45,305638901.pdf,305638901,48507.259999999995,63806.67
46,307383208.pdf,307383208,66099.30999999998,108244.27
47,308079119.pdf,308079119,13436.760000000002,29172.54
48,310219869.pdf,310219869,31939.46,96284.27
49,312506857.pdf,312506857,2272.1000000000004,60579.96
50,312926390.pdf,312926390,6404.05,17887.96
51,315504180.pdf,315504180,8096.790000000001,-1.0
52,318618545.pdf,318618545,7168.92,15571.77
53,319664163.pdf,319664163,16118.98,26795.82
54,321370693.pdf,321370693,7256.84,26964.2
55,323254838.pdf,13254838,2472.36,27285.11
56,323813947.pdf,323813947,4663.59,20832.03
57,32682613.pdf,32682613,10252.199999999999,64436.25
58,328103147.pdf,328103147,1779.66,8906.41
59,329476178.pdf,329476178,7688.67,34699.8
60,329628995.pdf,329628995,16488.87,30286.66
61,333907445.pdf,333907445,2683.6699999999996,34684.58
62,334778369.pdf,334778369,22005.93,26512.74
63,336313657.pdf,336313657,6866.6,37355.16
64,33794946.pdf,33794946,11764.539999999999,-1.0
65,338053630.pdf,338053630,24722.58,26877.75
66,338553690.pdf,338553690,8584.119999999999,22849.91
67,340621435.pdf,340621435,16985.63,46836.58
68,342623575.pdf,342623575,0.0,32959.5
69,343429034.pdf,343429034,0.0,-1.0
70,344226233.pdf,344226233,10334.439999999999,13973.83
71,350779207.pdf,350779207,1803.98,6724.21
72,352032941.pdf,352032941,0.0,9479.23
73,352069077.pdf,352069077,24855.489999999998,36841.92
74,355212809.pdf,355212809,11178.839999999998,-1.0
75,357431837.pdf,357431837,12804.76,28257.46
76,358444323.pdf,358444323,2711.18,5077.27
77,361909457.pdf,361909457,15593.39,20502.71
78,362212319.pdf,362212319,11855.990000000002,23588.6
79,363832314.pdf,363832314,34556.34,71956.22
80,365535925.pdf,365535925,26406.04,70467.81
81,368335923.pdf,368335923,8095.64,9106.79
82,370017239.pdf,370017239,4881.900000000001,12949.67
83,371324597.pdf,371324597,8333.98,35960.7
84,371931447.pdf,371931447,16918.370000000003,-1.0
85,372688426.pdf,372688426,4159.55,28759.69
86,373313006.pdf,373313006,687.04,-1.0
87,373764603.pdf,373764603,5749.78,6853.95
88,379818130.pdf,379818130,14027.810000000001,49469.04
89,381256835.pdf,381256835,2545.8900000000003,-1.0
90,38185224.pdf,38185224,10741.380000000001,22483.25
91,383580893.pdf,383580893,0.0,44902.77
92,386562448.pdf,386562448,6351.18,16302.3
93,388235084.pdf,388235084,2708.0099999999998,18319.9
94,388777171.pdf,388777171,39438.96,59180.83
95,38894370.pdf,38894370,6767.97,15854.55
96,39377505.pdf,39377505,26202.210000000003,31807.67
97,394202891.pdf,394202891,18103.14,26477.75
98,395797065.pdf,395797065,7820.509999999999,14332.82
99,397886753.pdf,7886753,5469.77,32172.43
