,path,invoice,costo_prof,costo_total
0,102819958.pdf,102819958,5298.33,24585.89
1,2021-01-26_4775.pdf,c50152066,39414.990000000005,57542.07
2,2021-03-29_1535.pdf,276418818,24215.37,25786.04
3,2021-05-28_1653.pdf,T76121687,9226.570000000002,20799.95
4,2021-08-27_7407.pdf,146071997,2348.17,9329.47
5,2021-10-27_5432.pdf,L94297101,10652.93,27397.19
6,2022-02-03_7006.pdf,521793104,1570.96,5793.31
7,2022-04-25_5268.pdf,Q98596344,23142.230000000003,43121.83
8,2022-07-14_7958.pdf,499992471,6736.860000000001,33419.21
9,2022-09-13_213.pdf,699332564,31050.83,74119.77
10,2022-12-01_6023.pdf,541655111,43767.26,41304.91
11,2023-02-07_4109.pdf,A74686767,22786.010000000002,41935.73
12,2023-03-23_7519.pdf,R79852306,9499.49,27763.99
13,221181934.pdf,221181934,5179.95,18834.47
14,390913718.pdf,390913718,17217.23,29481.73
15,539905176.pdf,539905176,17567.829999999998,54266.14
16,681446755.pdf,681446755,1860.3,6764.69
17,864456917.pdf,864456917,4531.169999999999,8204.06
18,A99168889.pdf,A99168889,27457.109999999997,37489.45
19,BeckFrenchandMoreno_2021-09-30.pdf,H57590778,1578.02,4374.28
20,C63375325.pdf,C63375325,13285.95,18398.82
21,D88874666.pdf,D88874666,31575.309999999998,49621.17
22,Email_Attachment_2021-01-05_8269.pdf,444254793,15970.2,64876.38
23,Email_Attachment_2021-03-27_5124.pdf,969326581,25222.78,32559.87
24,Email_Attachment_2021-06-18_622.pdf,C71449344,49152.97,56357.12
25,Email_Attachment_2021-09-12_7175.pdf,N41126663,529.83,10485.64
26,Email_Attachment_2021-11-18_3326.pdf,Q21410884,9426.869999999999,77411.49
27,Email_Attachment_2022-01-17_6958.pdf,B05142083,6571.7300000000005,8782.45
28,Email_Attachment_2022-04-20_7962.pdf,121180772,25373.310000000005,31053.35
29,Email_Attachment_2022-07-07_2845.pdf,M40675281,17128.49,23764.28
30,Email_Attachment_2022-08-30_7260.pdf,505276870,2780.33,9944.77
31,Email_Attachment_2022-11-03_4884.pdf,572352988,700.21,1704.66
32,Email_Attachment_2023-01-16_4779.pdf,V08795721,18420.45,25734.97
33,Email_Attachment_2023-04-08_3303.pdf,312808695,2804.06,11153.15
34,F47109546.pdf,F47109546,15165.41,26465.94
35,GibbsJacobsandNoble_2022-07-09.pdf,327989079,5046.95,7035.14
36,HernandezMooreandGordon_2022-10-29.pdf,823676197,5901.330000000001,24709.44
37,Incoming_inv_ParaisurZ996560_1101.pdf,323798183,4466.610000000001,25850.44
38,Incoming_inv_ParaisurZ996560_1714.pdf,Z64272201,3298.4799999999996,36046.81
39,Incoming_inv_ParaisurZ996560_2514.pdf,R30188834,12166.89,61046.02
40,Incoming_inv_ParaisurZ996560_2979.pdf,99667986,23113.67,45833.32
41,Incoming_inv_ParaisurZ996560_3530.pdf,275501494,21719.739999999998,48508.05
42,Incoming_inv_ParaisurZ996560_4181.pdf,137877881,7479.750000000001,19914.63
43,Incoming_inv_ParaisurZ996560_4909.pdf,97700172,11416.5,27258.12
44,Incoming_inv_ParaisurZ996560_5434.pdf,P60107233,4078.4400000000005,8725.26
45,Incoming_inv_ParaisurZ996560_6210.pdf,771171130,11020.689999999999,18725.14
46,Incoming_inv_ParaisurZ996560_6872.pdf,171029943,6872.38,34771.71
47,Incoming_inv_ParaisurZ996560_7527.pdf,J17263481,1589.8,21779.31
48,Incoming_inv_ParaisurZ996560_8150.pdf,603332482,13825.68,33075.93
49,Invoice (1320).pdf,671630289,4908.4,17445.18
50,Invoice (2050).pdf,G47938887,11021.8,47020.38
51,Invoice (3012).pdf,320760846,19191.3,32042.55
52,Invoice (3701).pdf,Z81171603,1543.46,9167.93
53,Invoice (4251).pdf,B97451902,5855.53,17120.83
54,Invoice (4838).pdf,T87615833,18677.309999999998,29674.1
55,Invoice (5474).pdf,649372510,12233.869999999999,40839.61
56,Invoice (6027).pdf,117985428,36532.329999999994,49218.56
57,Invoice (6655).pdf,194689110,7615.9800000000005,15867.59
58,Invoice (752).pdf,E84433628,4709.59,14369.28
59,Invoice (8340).pdf,T89863881,3971.7400000000007,14758.63
60,JonesWiseandHinton_2021-09-20.pdf,429756724,5448.95,5917.71
61,LewisGrahamandHill_2021-10-19.pdf,928428385,18473.32,29156.04
62,MeadowsLtd_2021-01-22.pdf,D08562452,6612.72,23169.14
63,N55789930.pdf,N55789930,25387.18,29739.85
64,P97694126.pdf,P97694126,173.20000000000002,9291.34
65,R89927861.pdf,R89927861,8530.480000000001,21082.77
66,SandovalJonesandSaunders_2023-04-04.pdf,Q28178550,11676.439999999999,36978.25
67,SparksNewmanandJohnson_2021-01-03.pdf,D97411180,23103.5,30194.3
68,TranKemp_2022-10-10.pdf,U74875421,31129.239999999998,44189.29
69,WattsLLC_2022-01-04.pdf,211083444,6243.829999999999,31743.49
70,X35432809.pdf,X35432809,28543.43,101266.92
