,path,invoice,costo_prof,costo_total
0,2021-07-28_7968.pdf,R79734731,4084.7200000000003,34297.48
1,2021-10-15_3185.pdf,480809592,8828.78,40110.08
2,2021-11-18_4949.pdf,Z21359378,9937.18,9946.54
3,2022-01-15_2247.pdf,K59760443,364.03,62577.66
4,2022-02-12_7985.pdf,262528584,2593.8899999999994,30595.01
5,2022-02-24_3609.pdf,Q43569160,0.0,18029.56
6,2022-04-01_8291.pdf,518421190,6245.42,18675.94
7,2022-10-29_8197.pdf,L70827529,5910.45,29116.69
8,2022-12-02_2097.pdf,L11544163,23125.510000000002,-1.0
9,2023-02-17_672.pdf,53733,7378.26,37299.22
10,27287842.pdf,27287842,6973.799999999999,59376.09
11,379818130.pdf,379818130,14027.810000000001,49469.04
12,765042909.pdf,765042909,25990.760000000002,-1.0
13,995069335.pdf,995069335,32873.96,59066.39
14,AlexanderBrown_2023-03-16.pdf,830987797,0.0,15767.59
15,BensonWest_2021-09-08.pdf,W00372955,5597.73,18808.06
16,BrownandSons_2021-11-30.pdf,J82544808,23506.46,50778.3
17,CruzAguirre_2022-02-10.pdf,43086509,0.0,17796.12
18,Email_Attachment_2021-02-11_322.pdf,R46120796,7628.049999999999,17271.79
19,Email_Attachment_2021-07-12_5580.pdf,S38802543,14483.36,54320.24
20,Email_Attachment_2021-09-27_5482.pdf,M26586426,14521.85,26190.44
21,Email_Attachment_2021-11-09_4318.pdf,Y93887130,3012.2400000000002,34095.83
22,Email_Attachment_2022-06-23_2850.pdf,D61112280,3982.24,27302.21
23,Email_Attachment_2022-06-27_4023.pdf,325473466,12322.67,37011.6
24,Email_Attachment_2022-11-26_6206.pdf,757588991,8833.72,15232.88
25,Incoming_inv_ParaisurZ996560_1263.pdf,179696144,796.1199999999999,16913.48
26,Incoming_inv_ParaisurZ996560_5043.pdf,418033295,1671.87,19951.27
27,Incoming_inv_ParaisurZ996560_5247.pdf,V47450871,38892.17,68356.55
28,Incoming_inv_ParaisurZ996560_5761.pdf,P79616919,48746.049999999996,58837.12
29,Incoming_inv_ParaisurZ996560_5993.pdf,Q62111755,7200.08,10727.28
30,Incoming_inv_ParaisurZ996560_7622.pdf,D17332877,35272.56,44517.52
31,Invoice (1349).pdf,504410149,11835.130000000001,25967.29
32,Invoice (3898).pdf,E4386,34942.799999999996,55739.19
33,Invoice (4121).pdf,W61188544,19188.95,60085.05
34,Invoice (6484).pdf,P74866311,30953.879999999997,63.0
35,Invoice (6735).pdf,Y68053884,20444.4,-1.0
36,Invoice (7223).pdf,E01530768,31238.579999999998,69529.8
37,Invoice (82).pdf,798373233,3176.7799999999997,28814.77
38,Invoice (8203).pdf,G73373140,4380.6900000000005,25965.75
39,K73799174.pdf,K73799174,9733.76,15621.01
40,KruegerKennedy_2021-11-20.pdf,210764271,2512.87,-14039.27
41,MitchellPayneandOrtiz_2022-10-16.pdf,5342797,10022.31,64500.59
42,Q22696057.pdf,Q22696057,7669.740000000001,22257.94
43,WoodGordonandNeal_2021-11-22.pdf,568412557,7823.31,-17211.27
44,Z84160504.pdf,Z84160504,5377.04,17090.68
