,path,invoice,costo_prof,costo_total
0,128153710.pdf,128153710,14418.52,31984.77
1,2021-01-21_3519.pdf,E90994350,1773.71,16200.6
2,2021-01-25_7102.pdf,587319943,28107.11,49265.26
3,2021-02-03_5058.pdf,489904721,35648.64,25397.31
4,2021-02-14_1830.pdf,392635800,14554.740000000002,22151.37
5,2021-03-13_1046.pdf,N20944669,1878.6100000000001,19713.21
6,2021-04-12_7818.pdf,2021-04-12_7818,18236.25,26891.76
7,2021-04-17_7897.pdf,519254721,14665.13,36745.09
8,2021-05-31_7244.pdf,672310954,794.48,55766.79
9,2021-07-08_5473.pdf,563897901,15254.43,28913.13
10,2021-07-19_6100.pdf,T58913932,4467.34,-1.0
11,2021-07-20_2438.pdf,A74667740,18063.25,33616.36
12,2021-07-28_7968.pdf,R79734731,3960.15,34297.48
13,2021-07-30_5148.pdf,67020510,25444.420000000002,40718.93
14,2021-08-11_8394.pdf,G43307344,8184.08,-1.0
15,2021-10-13_419.pdf,393778884,9022.01,24960.29
16,2021-10-15_3185.pdf,480809592,9077.64,40110.08
17,2021-11-18_4949.pdf,Z21359378,9937.18,9946.54
18,2021-12-31_3441.pdf,161357882,23527.579999999998,56272.89
19,2022-01-15_2247.pdf,K59760443,364.03,62577.66
20,2022-02-01_5712.pdf,T13728517,0.0,16601.82
21,2022-02-12_7985.pdf,262528584,2593.8899999999994,30595.01
22,2022-02-17_6584.pdf,T08121163,4908.5,25409.73
23,2022-02-19_3671.pdf,161882715,9801.43,13531.96
24,2022-02-19_7770.pdf,R49022919,8232.31,17621.46
25,2022-02-24_3609.pdf,Q43569160,0.0,18029.56
26,2022-04-01_8291.pdf,518421190,6244.4,18675.94
27,2022-04-22_4749.pdf,C23223896,12352.380000000001,17854.87
28,2022-05-30_6419.pdf,137716917,8922.1,31183.39
29,2022-06-04_1166.pdf,413071155,1491.9099999999999,26052.17
30,2022-06-07_7205.pdf,W04439351,582.3399999999999,9709.33
31,2022-06-13_2609.pdf,C27486711,985.21,16169.86
32,2022-07-05_6466.pdf,Z40081916,11623.69,19062.86
33,2022-07-20_1772.pdf,J32579814,5434.6,25151.77
34,2022-08-02_5021.pdf,670530008,2315.82,-184.8
35,2022-08-10_5155.pdf,726957933,4128.2,23247.61
36,2022-08-20_6839.pdf,960523171,33101.020000000004,40633.88
37,2022-10-15_5138.pdf,106933115,0.0,20356.53
38,2022-10-29_8197.pdf,L70827529,5910.45,29116.69
39,2022-11-23_3958.pdf,S83823451,7782.87,28122.74
40,2022-12-02_2097.pdf,L11544163,23125.510000000002,-1.0
41,2023-02-07_6838.pdf,L13185163,12565.87,37915.12
42,2023-02-17_672.pdf,53733,7303.09,37299.22
43,2023-03-29_4668.pdf,S48124771,14531.99,25636.57
44,2023-05-25_1139.pdf,512407441,638.69,726.63
45,210432887.pdf,210432887,4846.27,27290.98
46,270224933.pdf,270224933,1706.2799999999997,10982.46
47,27287842.pdf,27287842,6973.799999999999,59376.09
48,312506857.pdf,312506857,1632.63,60579.96
49,32682613.pdf,32682613,10252.199999999999,64436.25
50,355212809.pdf,355212809,11178.839999999998,-1.0
