,path,invoice,costo_prof,costo_total
0,102819958.pdf,102819958,5298.33,24585.89
1,105002622.pdf,105002622,24556.53,27216.52
2,109849880.pdf,109849880,7637.070000000001,9111.77
3,113028839.pdf,113028839,38335.06,54148.19
4,126722170.pdf,126722170,4105.78,15948.63
5,128362530.pdf,128362530,14018.920000000002,25484.03
6,136782590.pdf,136782590,3281.5999999999995,13325.56
7,139537191.pdf,139537191,8848.720000000001,18641.91
8,145774620.pdf,145774620,10278.1,19607.56
9,15071103.pdf,15071103,3303.0499999999997,32259.51
10,187085275.pdf,187085275,21366.479999999996,25385.16
11,191433200.pdf,191433200,23736.389999999996,29240.95
12,191735158.pdf,191735158,4485.57,29010.85
13,192415484.pdf,192415484,30173.370000000003,59401.3
14,196629123.pdf,196629123,8172.52,23694.3
15,201573028.pdf,201573028,12331.03,28612.2
16,2021-01-04_4242.pdf,J76634652,6607.900000000001,23114.12
17,2021-01-08_637.pdf,771105327,14550.12,24373.67
18,2021-01-09_7328.pdf,R63237145,17895.46,26178.63
19,2021-01-10_3627.pdf,Y69980783,14970.240000000002,21683.19
20,2021-01-12_1623.pdf,A95998530,10833.93,31754.27
21,2021-01-14_2076.pdf,575580040,9850.099999999999,29784.81
22,2021-01-15_6976.pdf,T07681678,14031.470000000001,19727.92
23,2021-01-16_8405.pdf,M28123796,8559.529999999999,15117.86
24,2021-01-17_3813.pdf,K78726156,23027.239999999998,38784.33
25,2021-01-18_8032.pdf,"Jan18,2021",6922.74,15527.03
26,2021-01-20_1816.pdf,435414097,25053.229999999996,43896.08
27,2021-01-20_3014.pdf,679053956,9848.630000000001,16108.62
28,2021-01-21_1021.pdf,D44139084,5707.169999999999,36284.26
29,2021-01-23_214.pdf,Q51920772,18712.6,35447.81
30,2021-01-26_4775.pdf,C50152066,39414.990000000005,57542.07
31,2021-01-30_1996.pdf,16235469,26092.92,30602.59
32,2021-01-30_6047.pdf,H72293765,4569.97,9734.84
33,2021-01-31_2039.pdf,B87109375,48469.66,70652.76
34,2021-02-01_6695.pdf,350167426,9244.07,14242.97
35,2021-02-03_5596.pdf,336515086,18668.21,28836.96
36,2021-02-04_6192.pdf,B44924457,23924.09,29106.27
37,2021-02-05_3971.pdf,943692678,9170.98,18410.25
38,2021-02-07_7784.pdf,U80854431,24074.93,25098.8
39,2021-02-11_5059.pdf,609287406,7735.06,13806.38
40,2021-02-13_4434.pdf,F45774293,14846.16,47113.19
41,2021-02-14_1997.pdf,639390189,14665.25,17212.71
42,2021-02-18_1295.pdf,H41309239,621.06,6099.04
43,2021-02-18_1310.pdf,179850710,5398.18,38766.68
44,2021-02-19_774.pdf,F44767044,5874.52,18913.12
45,2021-02-25_2958.pdf,O50482290,939.3299999999999,5643.61
46,2021-02-26_2095.pdf,70135749,8312.630000000001,15646.3
47,2021-02-28_6748.pdf,E92060185,15269.54,33093.14
48,2021-03-06_2778.pdf,546908724,19199.12,23381.61
49,2021-03-09_384.pdf,837241294,6724.14,58828.83
50,2021-03-10_252.pdf,122226488,9054.38,18596.02
51,2021-03-13_5480.pdf,764899327,12526.85,45626.1
52,2021-03-14_7607.pdf,M51209002,31866.11,55125.17
53,2021-03-17_7490.pdf,958002316,29268.190000000002,60337.29
54,2021-03-20_3383.pdf,Y65609983,987.4799999999999,20133.35
55,2021-03-21_2743.pdf,392971175,12737.6,29288.79
56,2021-03-21_7597.pdf,726740032,4933.55,13375.04
57,2021-03-23_7161.pdf,659570239,31419.54,38795.09
58,2021-03-25_4692.pdf,J99759749,29859.88,56943.79
59,2021-03-28_5078.pdf,363155552,1659.06,33954.49
60,2021-03-29_1535.pdf,276418818,24215.37,25786.04
61,2021-04-02_506.pdf,S47401094,22005.420000000002,30538.37
62,2021-04-04_1862.pdf,430620930,14593.82,30857.31
63,2021-04-07_7336.pdf,362398461,357.05,4368.83
64,2021-04-11_5216.pdf,F56014229,19036.38,29295.6
65,2021-04-12_219.pdf,986103842,4201.36,26143.91
66,2021-04-13_4042.pdf,Q55539435,8694.65,20300.63
67,2021-04-14_528.pdf,K92229773,5700.79,6403.87
68,2021-04-14_5868.pdf,O22122708,18675.739999999998,37550.94
69,2021-04-15_6888.pdf,452116846,11129.180000000002,18081.58
70,2021-04-16_924.pdf,478057510,13679.27,21720.1
71,2021-04-19_3179.pdf,103698761,3347.0500000000006,10078.71
72,2021-04-25_4693.pdf,V87872639,43991.880000000005,53753.11
73,2021-04-26_7530.pdf,M70815891,1904.93,5134.86
74,2021-04-26_7636.pdf,M21320084,25671.24,39851.44
75,2021-04-28_3929.pdf,733198993,25352.09,39974.59
76,2021-04-29_5358.pdf,779488545,7727.31,15377.03
77,2021-05-01_6656.pdf,L61514609,7541.099999999999,17113.03
78,2021-05-02_4665.pdf,205815,3068.7900000000004,12108.57
79,2021-05-05_2648.pdf,J65758486,14293.61,25790.86
80,2021-05-06_3681.pdf,959240048,20262.82,60626.65
81,2021-05-07_5297.pdf,634601630,8977.7,11166.37
82,2021-05-17_3011.pdf,578230136,18557.8,33582.74
83,2021-05-18_5221.pdf,X18982859,13713.02,21474.04
84,2021-05-19_6937.pdf,E85262120,14022.380000000001,50884.36
85,2021-05-20_7330.pdf,F41225993,3142.82,30558.5
86,2021-05-23_2608.pdf,G08994016,28825.040000000005,35242.32
87,2021-05-25_1694.pdf,14211096,8587.81,13584.78
88,2021-05-26_5798.pdf,Y03296443,11258.84,30350.35
89,2021-05-27_1849.pdf,T10174707,11173.14,45742.33
90,2021-05-28_1653.pdf,T76121687,11322.570000000002,20799.95
91,2021-06-01_1494.pdf,D04444060,22768.47,33738.27
